source_article_identity,source_locale,source_canonical,relation_type,target_surface,target_identity,target_locale,target_canonical,visible_anchor_intent,display_position,authority_source,query_relationship,publication_eligibility,target_eligibility,analytics_dependency,review_state,evidence,blocker
146,zh,https://fermatmind.com/zh/articles/big-five-friendship-differences-without-compatibility-scores,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
146,zh,https://fermatmind.com/zh/articles/big-five-friendship-differences-without-compatibility-scores,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
147,zh,https://fermatmind.com/zh/articles/big-five-goal-setting-use-results-as-hypotheses,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
147,zh,https://fermatmind.com/zh/articles/big-five-goal-setting-use-results-as-hypotheses,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
147,zh,https://fermatmind.com/zh/articles/big-five-goal-setting-use-results-as-hypotheses,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
1,zh,https://fermatmind.com/zh/articles/big-five-growth-guide,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
1,zh,https://fermatmind.com/zh/articles/big-five-growth-guide,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
1,zh,https://fermatmind.com/zh/articles/big-five-growth-guide,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
148,zh,https://fermatmind.com/zh/articles/big-five-leadership-reflection-not-leader-prediction,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
148,zh,https://fermatmind.com/zh/articles/big-five-leadership-reflection-not-leader-prediction,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
148,zh,https://fermatmind.com/zh/articles/big-five-leadership-reflection-not-leader-prediction,related_personality,personality_hub,personality,zh,https://fermatmind.com/zh/personality,查看公开人格解释,after definition,fap-api CMS/public API required,entity exploration,design_only,public,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,target hub observed,P03-P05 design consumed; G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
149,zh,https://fermatmind.com/zh/articles/big-five-learning-preferences-test-dont-prescribe,related_article,article,136,zh,https://fermatmind.com/zh/articles/apply-personality-research-without-overclaiming,继续了解Big Five,after relevant section / before final CTA,fap-api CMS/public API required,"same topic; supporting, not co-owner",design_only,included_verified,M06 runtime callsite implemented; production deployment or dispatch not proven,proposed,current public identities verified,G03 review and backend Authority merged; G04 renderer implemented; no deployment activation or publication proof
149,zh,https://fermatmind.com/zh/articles/big-five-learning-preferences-test-dont-prescribe,take_assessment,assessment_landing,big-five-personality-test-ocean-model,zh,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,开始测试,contextual CTA,current landing_surface_v1,article supports transactional owner,already_authorized_by_current_CMS,public sitemap observed,M06 runtime callsite implemented; production deployment or dispatch not proven,current,VERIFIED API/live/code,none
